[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (13 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q06] starting (worker _worker_0)
  [q06] done in 185s (exit 0, score=fail)
  [q17] starting (worker _worker_0)
  [q02] done in 224s (exit 0, score=pass)
  [q44] starting (worker _worker_1)
  [q17] done in 139s (exit 0, score=pass)
  [q49] starting (worker _worker_0)
  [q44] done in 137s (exit 0, score=pass)
  [q50] starting (worker _worker_1)
  [q50] done in 48s (exit 0, score=fail)
  [q59] starting (worker _worker_1)
  [q49] done in 321s (exit 0, score=fail)
  [q64] starting (worker _worker_0)
  [q59] done in 300s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q64] done in 202s (exit 0, score=fail)
  [q76] starting (worker _worker_0)
  [q75] done in 351s (exit 0, score=fail)
  [q77] starting (worker _worker_1)
  [q77] done in 252s (exit 0, score=fail)
  [q78] starting (worker _worker_1)
  [q76] done in 470s (exit 2, score=exhausted)
  [q86] starting (worker _worker_0)
  [q78] done in 249s (exit 0, score=fail)
  [q86] done in 364s (exit 0, score=pass)
[4/5] Finalising scores for 13 queries ...
  spliced 86 prior results from 20260606-222624
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (79 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260607-005408

# TPC-DS Agent Eval — 20260607-005408

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.282

## Result

- **Pass rate: 49/99** (50%)
- Status breakdown: {'pass': 49, 'timeout': 1, 'fail': 45, 'exhausted': 4}
- Wall time: 1692.4s  |  Agent time: 3243.3s  |  Avg/query: 249.5s
- Agent exit code: 1

## Agent harness metrics

- LLM iterations: 511
- Tool calls: 578  →  {'trilogy': 566, 'return_control_to_user': 12}
- `trilogy` subcommands: {'agent-info': 27, 'file': 196, 'explore': 122, 'run': 218, 'database': 3}
- Tool success rate: 86% (499/578 ok)
- Tokens: 22761966 total (22561379 prompt + 200587 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
| 39 | pass | 243 | 243 | 2545 |  |
| 40 | fail | 100 | 100 | 3266 | result set differs from reference |
| 41 | fail | 100 | 100 | 1797 | result set differs from reference |
| 42 | pass | 10 | 10 | 1047 |  |
| 43 | pass | 6 | 6 | 1731 |  |
| 44 | pass | 10 | 10 | 3066 |  |
| 45 | pass | 19 | 19 | 1881 |  |
| 46 | fail | 100 | 100 | 2356 | result set differs from reference |
| 47 | pass | 100 | 100 | 5678 |  |
| 48 | pass | 1 | 1 | 2246 |  |
| 49 | fail | 34 | 42 | 6938 | result set differs from reference |
| 50 | fail | 6 | 7 | 4509 | result set differs from reference |
| 51 | fail | 100 | 100 | 4648 | result set differs from reference |
| 52 | pass | 100 | 100 | 871 |  |
| 53 | pass | 100 | 100 | 2426 |  |
| 54 | fail | 1 | 100 | 5436 | result set differs from reference |
| 55 | pass | 100 | 100 | 853 |  |
| 56 | fail | 100 | 100 | 4410 | result set differs from reference |
| 57 | pass | 100 | 100 | 4426 |  |
| 58 | fail | 5 | 0 | 13082 | result set differs from reference |
| 59 | fail | 100 | 100 | 6247 | result set differs from reference |
| 60 | fail | 100 | 100 | 4876 | result set differs from reference |
| 61 | pass | 1 | 1 | 1842 |  |
| 62 | fail | 100 | 100 | 3980 | result set differs from reference |
| 63 | pass | 100 | 100 | 2350 |  |
| 64 | fail | 2 | 2 | 12634 | result set differs from reference |
| 65 | fail | 100 | 100 | 3237 | result set differs from reference |
| 66 | fail | 5 | 60 | 5180 | result set differs from reference |
| 67 | fail | 100 | 100 | 4468 | result set differs from reference |
| 68 | fail | 100 | 100 | 2438 | result set differs from reference |
| 69 | fail | 100 | 100 | 6159 | result set differs from reference |
| 70 | fail | 3 | 5 | 3331 | result set differs from reference |
| 71 | fail | 1031 | 586 | 6611 | result set differs from reference |
| 72 | pass | 100 | 100 | 2919 |  |
| 73 | fail | 1 | 82 | 2163 | result set differs from reference |
| 74 | pass | 92 | 92 | 2897 |  |
| 75 | fail | 100 | 100 | 6434 | result set differs from reference |
| 76 | exhausted | 100 | 100 | 6977 | agent exhausted iterations (was: fail) — result set differs from reference |
| 77 | fail | 44 | 100 | 6006 | result set differs from reference |
| 78 | fail | 100 | 100 | 6113 | result set differs from reference |
| 79 | fail | 100 | 100 | 1973 | result set differs from reference |
| 80 | exhausted | 100 | 100 | 7214 | agent exhausted iterations (was: fail) — result set differs from reference |
| 81 | fail | 100 | 100 | 9320 | result set differs from reference |
| 82 | pass | 2 | 2 | 1145 |  |
| 83 | fail | 24 | 24 | 12537 | result set differs from reference |
| 84 | fail | 16 | 100 | 1960 | result set differs from reference |
| 85 | pass | 1 | 1 | 9039 |  |
| 86 | pass | 100 | 100 | 4078 |  |
| 87 | fail | 1 | 1 | 3873 | result set differs from reference |
| 88 | fail | 1 | 1 | 4694 | result set differs from reference |
| 89 | pass | 100 | 100 | 4355 |  |
| 90 | fail | 1 | 1 | 1705 | result set differs from reference |
| 91 | pass | 2 | 2 | 3316 |  |
| 92 | pass | 1 | 1 | 1072 |  |
| 93 | fail | 100 | 100 | 1348 | result set differs from reference |
| 94 | pass | 1 | 1 | 4483 |  |
| 95 | pass | 1 | 1 | 4347 |  |
| 96 | fail | 1 | 1 | 1687 | result set differs from reference |
| 97 | exhausted | 1 | 1 | 2881 | agent exhausted iterations (was: fail) — result set differs from reference |
| 98 | pass | 2521 | 2521 | 3451 |  |
| 99 | fail | 90 | 90 | 3440 | result set differs from reference |

## Agent final message

> Query86 is complete and validated. The query file `query86.preql` has been written to the working directory. `trilogy run query86.preql` executes cleanly and returns 100 rows.
> 
> The query:
> - Imports `raw.web_sales` for web sales data with date and item dimensions (auto-joining via Trilogy's semantic model)
> - Filters to year 2000 using `where year(web_sales.date.date) = 2000`
> - Uses `by rollup` on `web_sales.item.category, web_sales.item.class` to compute total net paid at three grains: (category, class) detail, (category) subtotal, and grand total
> - Detects rollup hierarchy levels via hidden `grouping()` columns mapped to levels 0 (detail), 1 (category subtotal), and 2 (grand total)
> - Ranks within the appropriate parent using windowed `rank()`: category subtotals ranked together within level 1, class detail rows ranked within their category
> - Orders by hierarchy_level desc (grand total first), then category nulls first, then within-parent rank nulls first
> - Limits to 100 rows

